file_name,group_name,pointid,count
21-25178_DETS_01122021_V4_W4uwrrN.AGS,GCHM,"DCP9",2

21-25179_DETS_01122021_V4_lW2nsgj.AGS,LOCA,"BH06-D"
,1

21-25179_DETS_01122021_V4_lW2nsgj.AGS,SAMP,"BH06-D",5

21-25179_DETS_01122021_V4_lW2nsgj.AGS,GCHM,"BH06-D",20

21-26216_DETS_16122021_V4_3gN6JI3.AGS,LOCA,"BH-03D"
,1

21-26216_DETS_16122021_V4_3gN6JI3.AGS,LOCA,"BH-10D"
,1

21-26216_DETS_16122021_V4_3gN6JI3.AGS,SAMP,"BH-03D",7

21-26216_DETS_16122021_V4_3gN6JI3.AGS,SAMP,"BH-10D",5

21-26216_DETS_16122021_V4_3gN6JI3.AGS,GCHM,"BH-03D",28

21-26216_DETS_16122021_V4_3gN6JI3.AGS,GCHM,"BH-10D",20

D1043-21-23122021_27cExIH.ags,CONG,"BH-10D",1

D1043-21-23122021_27cExIH.ags,CONG,"BH-6D",1

D1043-21-23122021_27cExIH.ags,CONG,"BH-3D",1

D1043-21-23122021_27cExIH.ags,CONG,"BH-7D",1

D1043-21-23122021_27cExIH.ags,CONS,"BH-10D",6

D1043-21-23122021_27cExIH.ags,CONS,"BH-6D",6

D1043-21-23122021_27cExIH.ags,CONS,"BH-3D",6

D1043-21-23122021_27cExIH.ags,CONS,"BH-7D",6

D1043-21-23122021_27cExIH.ags,GRAG,"BH-10D",10

D1043-21-23122021_27cExIH.ags,GRAG,"BH-3D",12

D1043-21-23122021_27cExIH.ags,GRAG,"BH-6D",6

D1043-21-23122021_27cExIH.ags,GRAG,"BH-7D",14

D1043-21-23122021_27cExIH.ags,GRAG,"DCP1",1

D1043-21-23122021_27cExIH.ags,GRAG,"DCP10",1

D1043-21-23122021_27cExIH.ags,GRAG,"DCP5",2

D1043-21-23122021_27cExIH.ags,GRAG,"DCP7",1

D1043-21-23122021_27cExIH.ags,GRAG,"DCP8",1

D1043-21-23122021_27cExIH.ags,GRAG,"DCP9",1

D1043-21-23122021_27cExIH.ags,GRAG,"TP02",1

D1043-21-23122021_27cExIH.ags,GRAG,"TP03",1

D1043-21-23122021_27cExIH.ags,GRAT,"BH-10D",266

D1043-21-23122021_27cExIH.ags,GRAT,"BH-3D",332

D1043-21-23122021_27cExIH.ags,GRAT,"BH-6D",158

D1043-21-23122021_27cExIH.ags,GRAT,"BH-7D",374

D1043-21-23122021_27cExIH.ags,GRAT,"DCP1",29

D1043-21-23122021_27cExIH.ags,GRAT,"DCP10",29

D1043-21-23122021_27cExIH.ags,GRAT,"DCP5",42

D1043-21-23122021_27cExIH.ags,GRAT,"DCP7",29

D1043-21-23122021_27cExIH.ags,GRAT,"DCP8",29

D1043-21-23122021_27cExIH.ags,GRAT,"DCP9",29

D1043-21-23122021_27cExIH.ags,GRAT,"TP02",21

