file_name,group_name,pointid,count
21-24889_DETS_29112021_V4_WzmH08U.AGS,LOCA,"BH-3"
,1

21-24889_DETS_29112021_V4_WzmH08U.AGS,LOCA,"BH10D"
,1

21-24889_DETS_29112021_V4_WzmH08U.AGS,LOCA,"BH3D"
,1

21-24889_DETS_29112021_V4_WzmH08U.AGS,LOCA,"BH6D"
,1

21-24889_DETS_29112021_V4_WzmH08U.AGS,LOCA,"BH7D"
,1

21-24889_DETS_29112021_V4_WzmH08U.AGS,SAMP,"BH-3",1

21-24889_DETS_29112021_V4_WzmH08U.AGS,SAMP,"BH10D",6

21-24889_DETS_29112021_V4_WzmH08U.AGS,SAMP,"BH3D",1

21-24889_DETS_29112021_V4_WzmH08U.AGS,SAMP,"BH6D",2

21-24889_DETS_29112021_V4_WzmH08U.AGS,SAMP,"BH7D",2

21-24889_DETS_29112021_V4_WzmH08U.AGS,GCHM,"BH10D",20

21-24889_DETS_29112021_V4_WzmH08U.AGS,GCHM,"BH3D",4

21-24889_DETS_29112021_V4_WzmH08U.AGS,GCHM,"BH-3",4

21-24889_DETS_29112021_V4_WzmH08U.AGS,GCHM,"BH6D",6

21-24889_DETS_29112021_V4_WzmH08U.AGS,GCHM,"BH7D",6

21-25178_DETS_01122021_V4_UI4UTcv.AGS,LOCA,"DCP10"
,1

21-25178_DETS_01122021_V4_UI4UTcv.AGS,LOCA,"DCP1"
,1

21-25178_DETS_01122021_V4_UI4UTcv.AGS,LOCA,"DCP7"
,1

21-25178_DETS_01122021_V4_UI4UTcv.AGS,LOCA,"DCP8"
,1

21-25178_DETS_01122021_V4_UI4UTcv.AGS,LOCA,"DCP9"
,1

21-25178_DETS_01122021_V4_UI4UTcv.AGS,SAMP,"DCP1",1

21-25178_DETS_01122021_V4_UI4UTcv.AGS,SAMP,"DCP10",1

21-25178_DETS_01122021_V4_UI4UTcv.AGS,SAMP,"DCP7",2

21-25178_DETS_01122021_V4_UI4UTcv.AGS,SAMP,"DCP8",1

21-25178_DETS_01122021_V4_UI4UTcv.AGS,SAMP,"DCP9",1

21-25178_DETS_01122021_V4_UI4UTcv.AGS,GCHM,"DCP8",4

21-25178_DETS_01122021_V4_UI4UTcv.AGS,GCHM,"DCP7",6

21-25178_DETS_01122021_V4_UI4UTcv.AGS,GCHM,"DCP1",2

21-25178_DETS_01122021_V4_UI4UTcv.AGS,GCHM,"DCP10",2

21-25178_DETS_01122021_V4_UI4UTcv.AGS,GCHM,"DCP9",2

21-25179_DETS_01122021_V4_58zWauH.AGS,LOCA,"BH06-D"
,1

21-25179_DETS_01122021_V4_58zWauH.AGS,SAMP,"BH06-D",5

21-25179_DETS_01122021_V4_58zWauH.AGS,GCHM,"BH06-D",20

21-26216_DETS_16122021_V4_W9TNB3U.AGS,LOCA,"BH-03D"
,1

21-26216_DETS_16122021_V4_W9TNB3U.AGS,LOCA,"BH-10D"
,1

21-26216_DETS_16122021_V4_W9TNB3U.AGS,SAMP,"BH-03D",7

21-26216_DETS_16122021_V4_W9TNB3U.AGS,SAMP,"BH-10D",5

21-26216_DETS_16122021_V4_W9TNB3U.AGS,GCHM,"BH-03D",28

21-26216_DETS_16122021_V4_W9TNB3U.AGS,GCHM,"BH-10D",20

D1043-21-23122021_pYsEQdJ.ags,CONG,"BH-10D",1

D1043-21-23122021_pYsEQdJ.ags,CONG,"BH-6D",1

D1043-21-23122021_pYsEQdJ.ags,CONG,"BH-3D",1

D1043-21-23122021_pYsEQdJ.ags,CONG,"BH-7D",1

D1043-21-23122021_pYsEQdJ.ags,CONS,"BH-10D",6

D1043-21-23122021_pYsEQdJ.ags,CONS,"BH-6D",6

D1043-21-23122021_pYsEQdJ.ags,CONS,"BH-3D",6

D1043-21-23122021_pYsEQdJ.ags,CONS,"BH-7D",6

D1043-21-23122021_pYsEQdJ.ags,GRAG,"BH-10D",10

D1043-21-23122021_pYsEQdJ.ags,GRAG,"BH-3D",12

D1043-21-23122021_pYsEQdJ.ags,GRAG,"BH-6D",6

D1043-21-23122021_pYsEQdJ.ags,GRAG,"BH-7D",14

D1043-21-23122021_pYsEQdJ.ags,GRAG,"DCP1",1

D1043-21-23122021_pYsEQdJ.ags,GRAG,"DCP10",1

D1043-21-23122021_pYsEQdJ.ags,GRAG,"DCP5",2

D1043-21-23122021_pYsEQdJ.ags,GRAG,"DCP7",1

D1043-21-23122021_pYsEQdJ.ags,GRAG,"DCP8",1

D1043-21-23122021_pYsEQdJ.ags,GRAG,"DCP9",1

D1043-21-23122021_pYsEQdJ.ags,GRAG,"TP02",1

D1043-21-23122021_pYsEQdJ.ags,GRAG,"TP03",1

D1043-21-23122021_pYsEQdJ.ags,GRAT,"BH-10D",266

D1043-21-23122021_pYsEQdJ.ags,GRAT,"BH-3D",332

D1043-21-23122021_pYsEQdJ.ags,GRAT,"BH-6D",158

D1043-21-23122021_pYsEQdJ.ags,GRAT,"BH-7D",374

D1043-21-23122021_pYsEQdJ.ags,GRAT,"DCP1",29

D1043-21-23122021_pYsEQdJ.ags,GRAT,"DCP10",29

D1043-21-23122021_pYsEQdJ.ags,GRAT,"DCP5",42

D1043-21-23122021_pYsEQdJ.ags,GRAT,"DCP7",29

D1043-21-23122021_pYsEQdJ.ags,GRAT,"DCP8",29

D1043-21-23122021_pYsEQdJ.ags,GRAT,"DCP9",29

