file_name,group_name,pointid,count
21-24889_DETS_29112021_V4_S1tfd7G.AGS,LOCA,"BH-3"
,1

21-24889_DETS_29112021_V4_S1tfd7G.AGS,LOCA,"BH10D"
,1

21-24889_DETS_29112021_V4_S1tfd7G.AGS,LOCA,"BH3D"
,1

21-24889_DETS_29112021_V4_S1tfd7G.AGS,LOCA,"BH6D"
,1

21-24889_DETS_29112021_V4_S1tfd7G.AGS,LOCA,"BH7D"
,1

21-24889_DETS_29112021_V4_S1tfd7G.AGS,SAMP,"BH-3",1

21-24889_DETS_29112021_V4_S1tfd7G.AGS,SAMP,"BH10D",6

21-24889_DETS_29112021_V4_S1tfd7G.AGS,SAMP,"BH3D",1

21-24889_DETS_29112021_V4_S1tfd7G.AGS,SAMP,"BH6D",2

21-24889_DETS_29112021_V4_S1tfd7G.AGS,SAMP,"BH7D",2

21-24889_DETS_29112021_V4_S1tfd7G.AGS,GCHM,"BH10D",20

21-24889_DETS_29112021_V4_S1tfd7G.AGS,GCHM,"BH3D",4

21-24889_DETS_29112021_V4_S1tfd7G.AGS,GCHM,"BH-3",4

21-24889_DETS_29112021_V4_S1tfd7G.AGS,GCHM,"BH6D",6

21-24889_DETS_29112021_V4_S1tfd7G.AGS,GCHM,"BH7D",6

21-25178_DETS_01122021_V4_bfd8RPc.AGS,LOCA,"DCP10"
,1

21-25178_DETS_01122021_V4_bfd8RPc.AGS,LOCA,"DCP1"
,1

21-25178_DETS_01122021_V4_bfd8RPc.AGS,LOCA,"DCP7"
,1

21-25178_DETS_01122021_V4_bfd8RPc.AGS,LOCA,"DCP8"
,1

21-25178_DETS_01122021_V4_bfd8RPc.AGS,LOCA,"DCP9"
,1

21-25178_DETS_01122021_V4_bfd8RPc.AGS,SAMP,"DCP1",1

21-25178_DETS_01122021_V4_bfd8RPc.AGS,SAMP,"DCP10",1

21-25178_DETS_01122021_V4_bfd8RPc.AGS,SAMP,"DCP7",2

21-25178_DETS_01122021_V4_bfd8RPc.AGS,SAMP,"DCP8",1

21-25178_DETS_01122021_V4_bfd8RPc.AGS,SAMP,"DCP9",1

21-25178_DETS_01122021_V4_bfd8RPc.AGS,GCHM,"DCP8",4

21-25178_DETS_01122021_V4_bfd8RPc.AGS,GCHM,"DCP7",6

21-25178_DETS_01122021_V4_bfd8RPc.AGS,GCHM,"DCP1",2

21-25178_DETS_01122021_V4_bfd8RPc.AGS,GCHM,"DCP10",2

21-25178_DETS_01122021_V4_bfd8RPc.AGS,GCHM,"DCP9",2

21-25179_DETS_01122021_V4_ljNuehv.AGS,LOCA,"BH06-D"
,1

21-25179_DETS_01122021_V4_ljNuehv.AGS,SAMP,"BH06-D",5

21-25179_DETS_01122021_V4_ljNuehv.AGS,GCHM,"BH06-D",20

21-26216_DETS_16122021_V4_AAfMKJa.AGS,LOCA,"BH-03D"
,1

21-26216_DETS_16122021_V4_AAfMKJa.AGS,LOCA,"BH-10D"
,1

21-26216_DETS_16122021_V4_AAfMKJa.AGS,SAMP,"BH-03D",7

21-26216_DETS_16122021_V4_AAfMKJa.AGS,SAMP,"BH-10D",5

21-26216_DETS_16122021_V4_AAfMKJa.AGS,GCHM,"BH-03D",28

21-26216_DETS_16122021_V4_AAfMKJa.AGS,GCHM,"BH-10D",20

D1043-21-23122021_2OtcHbF.ags,CONG,"BH-10D",1

D1043-21-23122021_2OtcHbF.ags,CONG,"BH-6D",1

D1043-21-23122021_2OtcHbF.ags,CONG,"BH-3D",1

D1043-21-23122021_2OtcHbF.ags,CONG,"BH-7D",1

D1043-21-23122021_2OtcHbF.ags,CONS,"BH-10D",6

D1043-21-23122021_2OtcHbF.ags,CONS,"BH-6D",6

D1043-21-23122021_2OtcHbF.ags,CONS,"BH-3D",6

D1043-21-23122021_2OtcHbF.ags,CONS,"BH-7D",6

