file_name,group_name,pointid,count
21-25178_DETS_01122021_V4_K8qkDhW.AGS,GCHM,"DCP1",2

21-25178_DETS_01122021_V4_K8qkDhW.AGS,GCHM,"DCP10",2

21-25178_DETS_01122021_V4_K8qkDhW.AGS,GCHM,"DCP9",2

21-25179_DETS_01122021_V4_s3uyIx0.AGS,LOCA,"BH06-D"
,1

21-25179_DETS_01122021_V4_s3uyIx0.AGS,SAMP,"BH06-D",5

21-25179_DETS_01122021_V4_s3uyIx0.AGS,GCHM,"BH06-D",20

21-26216_DETS_16122021_V4_1EfHYHU.AGS,LOCA,"BH-03D"
,1

21-26216_DETS_16122021_V4_1EfHYHU.AGS,LOCA,"BH-10D"
,1

21-26216_DETS_16122021_V4_1EfHYHU.AGS,SAMP,"BH-03D",7

21-26216_DETS_16122021_V4_1EfHYHU.AGS,SAMP,"BH-10D",5

21-26216_DETS_16122021_V4_1EfHYHU.AGS,GCHM,"BH-03D",28

21-26216_DETS_16122021_V4_1EfHYHU.AGS,GCHM,"BH-10D",20

D1043-21-23122021_Kr0tZBD.ags,CONG,"BH-10D",1

D1043-21-23122021_Kr0tZBD.ags,CONG,"BH-6D",1

D1043-21-23122021_Kr0tZBD.ags,CONG,"BH-3D",1

D1043-21-23122021_Kr0tZBD.ags,CONG,"BH-7D",1

D1043-21-23122021_Kr0tZBD.ags,CONS,"BH-10D",6

D1043-21-23122021_Kr0tZBD.ags,CONS,"BH-6D",6

D1043-21-23122021_Kr0tZBD.ags,CONS,"BH-3D",6

D1043-21-23122021_Kr0tZBD.ags,CONS,"BH-7D",6

D1043-21-23122021_Kr0tZBD.ags,GRAG,"BH-10D",10

D1043-21-23122021_Kr0tZBD.ags,GRAG,"BH-3D",12

D1043-21-23122021_Kr0tZBD.ags,GRAG,"BH-6D",6

D1043-21-23122021_Kr0tZBD.ags,GRAG,"BH-7D",14

D1043-21-23122021_Kr0tZBD.ags,GRAG,"DCP1",1

D1043-21-23122021_Kr0tZBD.ags,GRAG,"DCP10",1

D1043-21-23122021_Kr0tZBD.ags,GRAG,"DCP5",2

D1043-21-23122021_Kr0tZBD.ags,GRAG,"DCP7",1

D1043-21-23122021_Kr0tZBD.ags,GRAG,"DCP8",1

D1043-21-23122021_Kr0tZBD.ags,GRAG,"DCP9",1

D1043-21-23122021_Kr0tZBD.ags,GRAG,"TP02",1

D1043-21-23122021_Kr0tZBD.ags,GRAG,"TP03",1

D1043-21-23122021_Kr0tZBD.ags,GRAT,"BH-10D",266

D1043-21-23122021_Kr0tZBD.ags,GRAT,"BH-3D",332

D1043-21-23122021_Kr0tZBD.ags,GRAT,"BH-6D",158

D1043-21-23122021_Kr0tZBD.ags,GRAT,"BH-7D",374

D1043-21-23122021_Kr0tZBD.ags,GRAT,"DCP1",29

D1043-21-23122021_Kr0tZBD.ags,GRAT,"DCP10",29

D1043-21-23122021_Kr0tZBD.ags,GRAT,"DCP5",42

D1043-21-23122021_Kr0tZBD.ags,GRAT,"DCP7",29

D1043-21-23122021_Kr0tZBD.ags,GRAT,"DCP8",29

D1043-21-23122021_Kr0tZBD.ags,GRAT,"DCP9",29

D1043-21-23122021_Kr0tZBD.ags,GRAT,"TP02",21

D1043-21-23122021_Kr0tZBD.ags,GRAT,"TP03",21

D1043-21-23122021_Kr0tZBD.ags,LBST,"BH-10D",83

D1043-21-23122021_Kr0tZBD.ags,LBST,"BH-3D",113

D1043-21-23122021_Kr0tZBD.ags,LBST,"BH-6D",79

D1043-21-23122021_Kr0tZBD.ags,LBST,"BH-7D",114

D1043-21-23122021_Kr0tZBD.ags,LBST,"DCP7",6

D1043-21-23122021_Kr0tZBD.ags,LBST,"DCP1",3

D1043-21-23122021_Kr0tZBD.ags,LBST,"DCP10",3

